Step,Acc,Loss
4,0.094,2.53
5,0.094,2.53
6,0.141,2.81
7,0.141,2.81
8,0.109,2.44
9,0.109,2.44
10,0.219,2.27
11,0.219,2.27
12,0.266,2.14
13,0.266,2.14
14,0.188,2.27
15,0.188,2.27
16,0.25,2.12
17,0.25,2.12
18,0.391,1.89
19,0.391,1.89
20,0.359,1.81
21,0.359,1.81
22,0.359,1.87
23,0.359,1.87
24,0.547,1.52
25,0.547,1.52
26,0.531,1.49
27,0.531,1.49
28,0.531,1.48
29,0.531,1.48
30,0.594,1.29
31,0.594,1.29
32,0.562,1.4
33,0.562,1.4
34,0.688,1.09
35,0.688,1.09
36,0.625,1.27
37,0.625,1.27
38,0.672,1.19
39,0.672,1.19
40,0.641,1.22
41,0.641,1.22
42,0.781,1.01
43,0.781,1.01
44,0.656,1.1
45,0.656,1.1
46,0.734,0.96
47,0.734,0.96
48,0.797,0.91
49,0.797,0.91
50,0.625,1.1
51,0.625,1.1
52,0.797,0.83
53,0.797,0.83
54,0.656,1.02
55,0.656,1.02
56,0.703,0.99
57,0.703,0.99
58,0.719,0.87
59,0.719,0.87
60,0.641,1.08
61,0.641,1.08
62,0.734,0.89
63,0.734,0.89
64,0.719,0.89
65,0.719,0.89
66,0.797,0.8
67,0.797,0.8
68,0.812,0.81
69,0.812,0.81
70,0.797,0.75
71,0.797,0.75
72,0.781,0.9
73,0.781,0.9
74,0.734,0.83
75,0.734,0.83
76,0.766,0.79
77,0.766,0.79
78,0.703,0.87
79,0.703,0.87
80,0.703,0.89
81,0.703,0.89
82,0.719,1.04
83,0.719,1.04
84,0.766,0.73
85,0.766,0.73
86,0.812,0.66
87,0.812,0.66
88,0.734,0.85
89,0.734,0.85
90,0.891,0.63
91,0.891,0.63
92,0.766,0.78
93,0.766,0.78
94,0.688,0.78
95,0.688,0.78
96,0.828,0.69
97,0.828,0.69
98,0.766,0.75
99,0.766,0.75
100,0.578,1.1
101,0.578,1.1
102,0.875,0.59
103,0.875,0.59
104,0.75,0.88
105,0.75,0.88
106,0.781,0.78
107,0.781,0.78
108,0.875,0.6
109,0.875,0.6
110,0.734,0.76
111,0.734,0.76
112,0.781,0.8
113,0.781,0.8
114,0.766,0.77
115,0.766,0.77
116,0.906,0.57
117,0.906,0.57
118,0.891,0.64
119,0.891,0.64
120,0.734,0.82
121,0.734,0.82
122,0.812,0.72
123,0.812,0.72
124,0.766,0.82
125,0.766,0.82
126,0.766,0.84
127,0.766,0.84
128,0.703,0.89
129,0.703,0.89
130,0.734,0.82
131,0.734,0.82
132,0.75,0.81
133,0.75,0.81
134,0.859,0.58
135,0.859,0.58
136,0.844,0.61
137,0.844,0.61
138,0.812,0.77
139,0.812,0.77
140,0.766,0.66
141,0.766,0.66
142,0.844,0.64
143,0.844,0.64
144,0.781,0.67
145,0.781,0.67
146,0.766,0.73
147,0.766,0.73
148,0.75,0.77
149,0.75,0.77
150,0.75,0.73
151,0.75,0.73
152,0.859,0.5
153,0.859,0.5
154,0.812,0.61
155,0.812,0.61
156,0.875,0.48
157,0.875,0.48
158,0.812,0.71
159,0.812,0.71
160,0.828,0.64
161,0.828,0.64
162,0.812,0.6
163,0.812,0.6
164,0.906,0.46
165,0.906,0.46
166,0.844,0.63
167,0.844,0.63
168,0.828,0.57
169,0.828,0.57
170,0.781,0.66
171,0.781,0.66
172,0.891,0.45
173,0.891,0.45
174,0.797,0.73
175,0.797,0.73
176,0.891,0.48
177,0.891,0.48
178,0.859,0.52
179,0.859,0.52
180,0.875,0.53
181,0.875,0.53
182,0.797,0.71
183,0.797,0.71
184,0.766,0.68
185,0.766,0.68
186,0.859,0.55
187,0.859,0.55
188,0.844,0.66
189,0.844,0.66
190,0.734,0.75
191,0.734,0.75
192,0.875,0.44
193,0.875,0.44
194,0.797,0.67
195,0.797,0.67
196,0.875,0.52
197,0.875,0.52
198,0.859,0.48
199,0.859,0.48
200,0.828,0.56
201,0.828,0.56
202,0.828,0.55
203,0.828,0.55
204,0.766,0.66
205,0.766,0.66
206,0.75,0.81
207,0.75,0.81
208,0.922,0.5
209,0.922,0.5
210,0.766,0.64
211,0.766,0.64
212,0.891,0.42
213,0.891,0.42
214,0.844,0.57
215,0.844,0.57
216,0.844,0.51
217,0.844,0.51
218,0.797,0.68
219,0.797,0.68
220,0.828,0.53
221,0.828,0.53
222,0.828,0.53
223,0.828,0.53
224,0.812,0.61
225,0.812,0.61
226,0.766,0.61
227,0.766,0.61
