Step,Acc,Loss
4,0.047,2.74
5,0.047,2.74
6,0.133,2.54
7,0.133,2.54
8,0.141,2.56
9,0.141,2.56
10,0.164,2.45
11,0.164,2.45
12,0.18,2.36
13,0.18,2.36
14,0.125,2.59
15,0.125,2.59
16,0.211,2.27
17,0.211,2.27
18,0.281,1.94
19,0.281,1.94
20,0.352,1.94
21,0.352,1.94
22,0.406,1.82
23,0.406,1.82
24,0.352,1.87
25,0.352,1.87
26,0.266,2.0
27,0.266,2.0
28,0.289,1.94
29,0.289,1.94
30,0.312,1.85
31,0.312,1.85
32,0.398,1.78
33,0.398,1.78
34,0.523,1.69
35,0.523,1.69
36,0.484,1.63
37,0.484,1.63
38,0.602,1.42
39,0.602,1.42
40,0.523,1.51
41,0.523,1.51
42,0.617,1.4
43,0.617,1.4
44,0.492,1.52
45,0.492,1.52
46,0.648,1.35
47,0.648,1.35
48,0.727,1.19
49,0.727,1.19
50,0.695,1.17
51,0.695,1.17
52,0.758,0.99
53,0.758,0.99
54,0.656,1.18
55,0.656,1.18
56,0.711,1.02
57,0.711,1.02
58,0.742,0.99
59,0.742,0.99
60,0.719,1.03
61,0.719,1.03
62,0.234,2.12
63,0.234,2.12
64,0.195,2.27
65,0.195,2.27
66,0.242,2.4
67,0.242,2.4
68,0.242,2.16
69,0.242,2.16
70,0.273,2.11
71,0.273,2.11
72,0.289,2.03
73,0.289,2.03
74,0.32,2.08
75,0.32,2.08
76,0.438,1.7
77,0.438,1.7
78,0.43,1.78
79,0.43,1.78
80,0.422,1.63
81,0.422,1.63
82,0.531,1.47
83,0.531,1.47
84,0.539,1.44
85,0.539,1.44
86,0.641,1.36
87,0.641,1.36
88,0.602,1.37
89,0.602,1.37
90,0.625,1.21
91,0.625,1.21
92,0.672,1.25
93,0.672,1.25
94,0.633,1.2
95,0.633,1.2
96,0.688,1.12
97,0.688,1.12
98,0.812,0.9
99,0.812,0.9
100,0.633,1.12
101,0.633,1.12
102,0.727,0.93
103,0.727,0.93
104,0.664,1.15
105,0.664,1.15
106,0.695,1.05
107,0.695,1.05
108,0.773,0.9
109,0.773,0.9
110,0.719,0.91
111,0.719,0.91
112,0.773,0.86
113,0.773,0.86
114,0.68,1.02
115,0.68,1.02
116,0.758,0.87
117,0.758,0.87
118,0.773,0.81
119,0.773,0.81
120,0.711,0.9
121,0.711,0.9
122,0.758,0.85
123,0.758,0.85
124,0.75,0.84
125,0.75,0.84
126,0.773,0.83
127,0.773,0.83
128,0.773,0.79
129,0.773,0.79
130,0.758,0.85
131,0.758,0.85
132,0.852,0.69
133,0.852,0.69
134,0.82,0.79
135,0.82,0.79
136,0.742,0.86
137,0.742,0.86
138,0.773,0.76
139,0.773,0.76
140,0.867,0.65
141,0.867,0.65
142,0.836,0.64
143,0.836,0.64
144,0.875,0.63
145,0.875,0.63
146,0.82,0.72
147,0.82,0.72
148,0.797,0.7
149,0.797,0.7
150,0.828,0.63
151,0.828,0.63
152,0.859,0.61
153,0.859,0.61
154,0.797,0.73
155,0.797,0.73
156,0.828,0.68
157,0.828,0.68
158,0.875,0.56
159,0.875,0.56
160,0.781,0.67
161,0.781,0.67
162,0.734,0.87
