step,accuracy,loss
1,0.152,4.356
2,0.188,3.417
3,0.298,2.970
4,0.319,2.531
5,0.412,2.187
6,0.437,2.083
7,0.468,1.725
8,0.447,1.512
9,0.496,1.570
10,0.516,1.451
11,0.559,1.776
12,0.559,1.678
13,0.548,1.213
14,0.564,1.892
15,0.625,1.431
16,0.656,1.110
17,0.655,0.895
18,0.681,0.621
19,0.677,0.872
20,0.696,0.947
21,0.703,0.901
22,0.716,0.684
23,0.708,0.823
24,0.713,0.749
25,0.676,0.868
26,0.740,0.788
27,0.747,0.805
28,0.729,0.859
29,0.755,0.621
30,0.756,0.585
31,0.740,0.945
32,0.775,0.630
33,0.779,0.721
34,0.764,0.664
35,0.761,0.707
36,0.779,0.829
37,0.785,0.636
38,0.775,0.787
39,0.794,0.578
40,0.796,0.573
41,0.775,0.668
42,0.804,0.737
43,0.790,0.601
44,0.798,0.592
45,0.805,0.586
46,0.806,0.447
47,0.787,0.738
48,0.799,0.740
49,0.785,0.477
50,0.815,0.694
51,0.814,0.558
52,0.815,0.903
53,0.815,0.405
54,0.819,0.701
55,0.819,0.357
56,0.796,0.549
57,0.820,0.602
58,0.812,0.596
59,0.817,0.527
60,0.825,0.461
61,0.826,0.342
62,0.824,0.553
63,0.821,0.527
64,0.821,0.396
65,0.828,0.536
66,0.831,0.332
67,0.830,0.534
68,0.823,0.456
69,0.833,0.665
70,0.818,0.594
71,0.836,0.621
72,0.837,0.529
73,0.834,0.774
74,0.837,0.632
75,0.835,0.471
76,0.837,0.446
77,0.834,0.653
78,0.829,0.532
79,0.838,0.741
80,0.837,0.646
81,0.841,0.544
82,0.831,0.574
83,0.837,0.821
84,0.845,0.494
85,0.836,0.721
86,0.838,0.362
87,0.830,0.672
88,0.840,1.001
89,0.822,0.732
90,0.839,0.445
91,0.841,0.359
92,0.845,0.417
93,0.845,0.575
94,0.834,0.594
95,0.842,0.586
96,0.837,0.625
97,0.844,0.438
98,0.847,0.454
99,0.845,0.299
100,0.845,0.264
101,0.850,0.432
102,0.850,0.338
103,0.808,0.695
104,0.830,0.288
105,0.846,0.383
106,0.852,0.279
107,0.847,0.391
108,0.852,0.608
109,0.857,0.440
110,0.858,0.372
111,0.856,0.337
112,0.859,0.336
113,0.854,0.565
114,0.854,0.316
115,0.857,0.347
116,0.855,0.693
117,0.852,0.518
118,0.846,0.635
119,0.840,0.446
120,0.840,0.413
121,0.846,0.508
122,0.832,0.379
123,0.852,0.575
124,0.854,0.535
125,0.854,0.531
126,0.847,0.773
127,0.848,0.850
128,0.860,0.470
129,0.861,0.313
130,0.861,0.662
131,0.855,0.822
132,0.857,0.629
133,0.851,0.412
134,0.862,0.508
135,0.862,0.300
136,0.861,0.291
137,0.860,0.551
138,0.864,0.556
139,0.862,0.425
140,0.864,0.767
141,0.868,0.570
142,0.858,0.532
